Region,Country,Name,Style,Substyle,IBU,Rating,ABV,Price,Volume_Per_Container,Bottles_Per_Unit
CANADA,CANADA,MOLSON - CANADIAN 67 CAN,LAGER,AMERICAN LIGHT LAGER,NA,2.16,3,22.49,0.355,12
CANADA,CANADA,WOLF - RANNOCH SCOTCH ALE,STRONG ALE,SCOTCH ALE,NA,3.36,6,5.85,0.65,1
EUROPE,BELGIUM,CHIMAY BLUE CAP,STRONG ALE,BELGIAN STRONG DARK,35,3.96,9,4.04,0.33,1
CANADA,CANADA,STEAMWORKS - PALE ALE TALL CAN,PALE ALE,AMERICAN PALE ALE,40,3.49,5.2,2.25,0.5,1
CANADA,CANADA,SLEEMAN - ORIGINAL DRAUGHT,LAGER,PALE LAGER,NA,3.07,5,19.99,0.341,12
EUROPE,NETHERLANDS,GROLSCH PREMIUM LAGER,LAGER,PILSNER,NA,3.22,5,12.75,0.33,6
ASIA,JAPAN,ASAHI SUPER DRY,LAGER,JAPANESE RICE,16,3.07,5,11.85,0.33,6
CANADA,CANADA,ALEXANDER KEITH'S - INDIA PALE ALE CAN,IPA,ENGLISH IPA,20,3,5,21.45,0.355,12
EUROPE,GERMANY,LOWENBRAU ORIGINAL TALL CAN,LAGER,HELLES,19,3.16,5.2,2.79,0.5,1
EUROPE,BELGIUM,STELLA ARTOIS,LAGER,PILSNER,24,3.26,5.2,13.29,0.33,6
CANADA,CANADA,SLEEMAN - HONEY BROWN LAGER CAN,LAGER,AMERICAN AMBER LAGER,NA,3.26,5.5,19.99,0.355,12
EUROPE,IRELAND,KILKENNY IRISH CREAM ALE DRAUGHT CAN,HYBRID,CREAM ALE,NA,3.41,4.5,11.99,0.44,4
EUROPE,GERMANY,SUENNER KOELSCH,PALE ALE,KOLSCH,19,3.43,4.8,2.85,0.5,1
ASIA,SINGAPORE,TIGER BEER,LAGER,PALE LAGER,18,2.93,5,11.95,0.33,6
ASIA,JAPAN,ASAHI SUPER DRY BIG CAN,LAGER,JAPANESE RICE,16,3.07,5,13.65,2,1
OTHER AMERICAS,MEXICO,CORONA EXTRA LA GRANDE,LAGER,AMERICAN ADJUNCT,19,3.06,4.6,4.59,0.71,1
EUROPE,IRELAND,GUINNESS PUB DRAUGHT CAN,STOUT,IRISH,45,3.8,4.1,22.99,0.44,8
CANADA,CANADA,STROH CANADA - OLD MILWAUKEE CAN,LAGER,AMERICAN ADJUNCT,NA,2.35,5,8.49,0.355,6
CANADA,CANADA,STROH CANADA - RAINIER CAN,LAGER,AMERICAN ADJUNCT,10,2.92,5,8.29,0.355,6
CANADA,CANADA,LABATT - BUSCH ICE CAN,LAGER,AMERICAN ADJUNCT,NA,2.13,6,19.49,0.355,15
OTHER AMERICAS,MEXICO,CORONA LIGHT,LAGER,AMERICAN LIGHT LAGER,18,2.77,3.7,13.29,0.33,6
CANADA,CANADA,PERSEPHONE  - GODDESS GOLDEN ALE CAN,PALE ALE,AMERICAN BLONDE ALE,35,3.45,5,11.95,0.355,6
CANADA,CANADA,STEAMWORKS - PALE ALE,PALE ALE,AMERICAN PALE ALE,40,3.49,5.5,12.5,0.355,6
CANADA,CANADA,KEYSTONE - LIGHT CAN,LAGER,AMERICAN LIGHT LAGER,NA,2,4,8.49,0.355,6
